,original_language,movie,production_budget,worldwide_gross,studio,movie_id,original_title,start_year,runtime_minutes,genres,averagerating,numvotes
1042,en,Inherent Vice,"$20,000,000","$14,772,346",WB,tt1791528,Inherent Vice,2014,148.0,"Comedy,Crime,Drama",6.7,83346
1043,en,Annabelle,"$6,500,000","$256,862,920",WB (NL),tt3322940,Annabelle,2014,99.0,"Horror,Mystery,Thriller",5.4,122039
1044,en,The Theory of Everything,"$15,000,000","$123,327,692",Focus,tt2980516,The Theory of Everything,2014,123.0,"Biography,Drama,Romance",7.7,361534
1045,en,The Legend of Hercules,"$70,000,000","$58,953,319",LG/S,tt1043726,The Legend of Hercules,2014,99.0,"Action,Adventure,Fantasy",4.2,50352
1046,en,Into the Woods,"$56,200,000","$213,116,401",BV,tt2180411,Into the Woods,2014,125.0,"Adventure,Comedy,Drama",6.0,123577
1047,en,Into the Woods,"$56,200,000","$213,116,401",BV,tt2191715,Into the Woods,2011,,"Comedy,Musical",7.8,33
1048,en,Into the Woods,"$56,200,000","$213,116,401",BV,tt2201083,Into the Woods,2012,,Thriller,2.6,167
1049,en,Need for Speed,"$66,000,000","$194,169,619",BV,tt2369135,Need for Speed,2014,132.0,"Action,Crime,Thriller",6.5,154909
1050,en,The Rover,"$8,500,000","$3,180,252",A24,tt2345737,The Rover,2014,103.0,"Action,Crime,Drama",6.4,40576
1051,en,The Monuments Men,"$70,000,000","$158,702,748",Sony,tt2177771,The Monuments Men,2014,118.0,"Comedy,Drama,History",6.1,117638
1052,en,Mr. Peabody & Sherman,"$145,000,000","$269,806,430",Fox,tt0864835,Mr. Peabody & Sherman,2014,92.0,"Adventure,Animation,Comedy",6.8,57277
1053,en,"I, Frankenstein","$65,000,000","$74,575,290",LGF,tt1418377,"I, Frankenstein",2014,92.0,"Action,Fantasy,Horror",5.1,74910
1054,en,Unbroken,"$65,000,000","$163,527,824",Uni.,tt1809398,Unbroken,2014,137.0,"Biography,Drama,Sport",7.2,129981
1055,en,A Most Violent Year,"$20,000,000","$8,846,875",A24,tt2937898,A Most Violent Year,2014,125.0,"Crime,Drama,Thriller",7.0,60165
1056,en,A Most Violent Year,"$20,000,000","$8,846,875",A24,tt2937898,A Most Violent Year,2014,125.0,"Crime,Drama,Thriller",7.0,60165
1057,en,If I Stay,"$11,000,000","$78,356,170",WB (NL),tt1355630,If I Stay,2014,107.0,"Drama,Fantasy,Music",6.8,107625
1058,en,Big Eyes,"$10,000,000","$27,317,872",Wein.,tt1126590,Big Eyes,2014,106.0,"Biography,Crime,Drama",7.0,77447
1059,en,Big Eyes,"$10,000,000","$27,317,872",Wein.,tt4317898,Big Eyes,2014,,Documentary,7.2,43
1060,en,Blood Ties,"$26,000,000","$2,923,959",ALP,tt1747958,Blood Ties,2013,127.0,"Action,Crime,Drama",6.5,17771
1061,en,Blood Ties,"$26,000,000","$2,923,959",ALP,tt2941230,Blodets bånd,2013,83.0,"Documentary,Drama,Family",7.0,50
1062,en,The Babadook,"$2,000,000","$7,482,387",IFC,tt2321549,The Babadook,2014,94.0,"Drama,Horror",6.8,171411
1063,en,The Boxtrolls,"$60,000,000","$111,946,251",Focus,tt0787474,The Boxtrolls,2014,96.0,"Adventure,Animation,Comedy",6.8,50763
1064,en,22 Jump Street,"$50,000,000","$331,333,876",Sony,tt2294449,22 Jump Street,2014,112.0,"Action,Comedy,Crime",7.0,319504
1065,en,Boyhood,"$4,000,000","$57,273,049",IFC,tt1065073,Boyhood,2014,165.0,Drama,7.9,315584
1066,en,Mommy,"$4,900,000","$17,536,004",RAtt.,tt3612616,Mommy,2014,139.0,Drama,8.1,43020
1067,en,Jack Ryan: Shadow Recruit,"$60,000,000","$131,377,412",Par.,tt1205537,Jack Ryan: Shadow Recruit,2014,105.0,"Action,Drama,Thriller",6.2,114913
1068,en,3 Days to Kill,"$28,000,000","$38,959,900",Rela.,tt2172934,3 Days to Kill,2014,117.0,"Action,Drama,Thriller",6.2,81681
1069,en,Tammy,"$20,000,000","$96,407,655",WB (NL),tt2103254,Tammy,2014,97.0,"Comedy,Romance",4.9,44345
1070,en,13 Sins,"$4,000,000","$47,552",RTWC,tt2059171,13 Sins,2014,93.0,"Horror,Thriller",6.3,29550
1071,en,Oculus,"$5,000,000","$44,115,496",Rela.,tt2388715,Oculus,2013,104.0,"Horror,Mystery",6.5,106906
1072,en,Ride Along,"$25,000,000","$153,733,800",Uni.,tt1408253,Ride Along,2014,99.0,"Action,Comedy,Crime",6.2,94529
1073,en,Ride Along,"$25,000,000","$153,733,800",Uni.,tt2263520,Ride Along,2012,87.0,Action,4.4,14
1074,en,Begin Again,"$8,000,000","$68,838,736",Wein.,tt1945037,Begin Again,2013,68.0,"Drama,Family",7.0,57
1075,en,Begin Again,"$8,000,000","$68,838,736",Wein.,tt1980929,Begin Again,2013,104.0,"Comedy,Drama,Music",7.4,129884
1076,en,Still Alice,"$5,000,000","$41,699,612",SPC,tt3316960,Still Alice,2014,101.0,Drama,7.5,116832
1077,en,Blended,"$45,000,000","$127,990,741",WB,tt1086772,Blended,2014,117.0,"Comedy,Romance",6.5,106491
1078,en,Draft Day,"$25,000,000","$29,847,480",LG/S,tt2223990,Draft Day,2014,110.0,"Drama,Sport",6.8,48812
1079,en,The Nut Job,"$30,000,000","$122,529,966",ORF,tt1821658,The Nut Job,2014,85.0,"Adventure,Animation,Comedy",5.7,24587
1080,en,The Skeleton Twins,"$1,000,000","$5,797,192",RAtt.,tt1571249,The Skeleton Twins,2014,93.0,"Comedy,Drama,Romance",6.8,36793
1081,en,A Most Wanted Man,"$15,000,000","$36,068,890",RAtt.,tt1972571,A Most Wanted Man,2014,122.0,"Crime,Drama,Thriller",6.8,67914
1082,en,Kill the Messenger,"$5,000,000","$6,656,705",Focus,tt1216491,Kill the Messenger,2014,112.0,"Biography,Crime,Drama",7.0,41231
1083,en,Falcon Rising,"$4,500,000","$11,774",Free,tt2295722,Falcon Rising,2014,103.0,"Action,Adventure",5.8,6955
1084,en,The Railway Man,"$18,000,000","$23,910,210",Wein.,tt2058107,The Railway Man,2013,116.0,"Biography,Drama,Romance",7.1,34586
1085,en,Selma,"$20,000,000","$66,776,576",Par.,tt1020072,Selma,2014,128.0,"Biography,Drama,History",7.5,77633
1086,en,Paranormal Activity: The Marked Ones,"$5,000,000","$90,904,854",Par.,tt2473682,Paranormal Activity: The Marked Ones,2014,84.0,"Horror,Mystery,Thriller",5.0,37147
1087,en,Skin Trade,"$9,000,000","$1,242",Magn.,tt1576702,Skin Trade,2010,78.0,Documentary,8.8,31
1088,en,Skin Trade,"$9,000,000","$1,242",Magn.,tt1641841,Skin Trade,2014,96.0,"Action,Crime,Thriller",5.7,6942
1089,en,Brick Mansions,"$28,000,000","$73,421,224",Rela.,tt1430612,Brick Mansions,2014,90.0,"Action,Crime",5.7,37528
